id,company_id,data_point,date_of_data,internal_company_id,report_type,created_by,created_date,last_modified_by,last_modified_date
305412,19900,0.634615384615385,2022-12-13,93,5,BATCH,2022-12-13 23:00:53.8860000,BATCH,2022-12-13 23:00:53.8860000
305471,23199,0.151515151515151,2022-12-13,94,5,BATCH,2022-12-13 23:00:58.9560000,BATCH,2022-12-13 23:00:58.9560000
305150,23199,0,2022-12-12,94,5,BATCH,2022-12-12 23:00:43.3460000,BATCH,2022-12-12 23:00:43.3460000
305108,19900,0.673076923076923,2022-12-12,93,5,BATCH,2022-12-12 23:00:41.6040000,BATCH,2022-12-12 23:00:41.6040000
305246,20919,0.614942528735632,2022-12-12,95,5,BATCH,2022-12-12 23:00:49.0140000,BATCH,2022-12-12 23:00:49.0140000
305034,20919,0.683908045977011,2022-12-11,95,5,BATCH,2022-12-12 23:00:35.7330000,BATCH,2022-12-12 23:00:35.7330000
304896,19900,0.660194174757281,2022-12-11,93,5,BATCH,2022-12-12 23:00:28.2050000,BATCH,2022-12-12 23:00:28.2050000
304987,23199,0,2022-12-11,94,5,BATCH,2022-12-12 23:00:32.5510000,BATCH,2022-12-12 23:00:32.5510000
304608,23199,0,2022-12-10,94,5,BATCH,2022-12-11 00:32:08.9020000,BATCH,2022-12-11 00:32:08.9020000
304575,19900,0.747572815533981,2022-12-10,93,5,BATCH,2022-12-11 00:32:07.6370000,BATCH,2022-12-11 00:32:07.6370000
304676,20919,0.689655172413793,2022-12-10,95,5,BATCH,2022-12-11 00:32:13.9280000,BATCH,2022-12-11 00:32:13.9280000
304422,20919,0.689655172413793,2022-12-09,95,5,BATCH,2022-12-11 00:31:59.1940000,BATCH,2022-12-11 00:31:59.1940000
304473,19900,0.805825242718447,2022-12-09,93,5,BATCH,2022-12-11 00:32:01.6390000,BATCH,2022-12-11 00:32:01.6390000
304374,23199,0,2022-12-09,94,5,BATCH,2022-12-11 00:31:53.9970000,BATCH,2022-12-11 00:31:53.9970000
238161,23199,0,2022-12-08,94,5,BATCH,2022-12-09 00:27:51.6110000,BATCH,2022-12-09 00:27:51.6110000
238146,19900,0.757281553398058,2022-12-08,93,5,BATCH,2022-12-09 00:27:51.0500000,BATCH,2022-12-09 00:27:51.0500000
238131,20919,0.689655172413793,2022-12-08,95,5,BATCH,2022-12-09 00:27:49.3680000,BATCH,2022-12-09 00:27:49.3680000
